start_idx,rmse_rf,r2_rf,rmse_lgbm,r2_lgbm
0,0.11343395729086889,0.4711504274441033,0.16980866844726641,-0.18512921470162436
30,0.0731349642783815,0.8993004637677496,0.17967463367037978,0.39221370999293703
60,0.49299295836755863,-5.3995673301130696,0.5710112256595198,-7.58535925425228
90,0.1354665358431126,0.668229544651036,0.12580204195004857,0.7138794578132963
120,0.056680866848228956,0.8450124035162954,0.07345235516190167,0.739723218752834
150,0.06198866025330779,0.8892514274551743,0.07828680666684565,0.8233592931644557
180,0.07322946583627636,0.29829904041876554,0.09024146367102429,-0.06559604375398642
210,0.44058324866022747,-9.496661725828535,0.45413133370632763,-10.152139046149816
240,0.2501028908269558,-5.660393545028658,0.2747130773667156,-7.03565228676613
270,0.27155168323298406,-4.043452340241221,0.3130254299432768,-5.701656507159104
300,0.42181787381127733,-3.03141015648601,0.4817085558554588,-4.257457240899753
